                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                0.81512,                0.47784,                 0.9656,                 0.9986,                      1,                  0.995,                0.80064,                0.75237,                0.39915,                0.91543,               0.001142,               0.001142,               0.001142
                    133,                 0.8788,                0.50983,                0.95606,                 0.9986,                      1,                  0.995,                0.80064,                0.75237,                0.39915,                0.91543,              0.0011354,              0.0011354,              0.0011354
                    134,                0.80658,                0.46225,                 0.9135,                0.99848,                      1,                  0.995,                0.80249,                 0.7395,                0.40603,                0.91037,              0.0011288,              0.0011288,              0.0011288
                    135,                0.83389,                0.45153,                0.93721,                0.99848,                      1,                  0.995,                0.80249,                 0.7395,                0.40603,                0.91037,              0.0011222,              0.0011222,              0.0011222
                    136,                0.78094,                0.44811,                0.93796,                0.99826,                      1,                  0.995,                0.80953,                0.72177,                0.40127,                0.90535,              0.0011156,              0.0011156,              0.0011156
                    137,                 0.8563,                0.48755,                0.95004,                0.99826,                      1,                  0.995,                0.80953,                0.72177,                0.40127,                0.90535,               0.001109,               0.001109,               0.001109
                    138,                0.78509,                0.45472,                0.96872,                0.99773,                      1,                  0.995,                0.81723,                0.71085,                0.38493,                  0.901,              0.0011024,              0.0011024,              0.0011024
                    139,                0.79045,                0.45012,                0.95359,                0.99773,                      1,                  0.995,                0.81723,                0.71085,                0.38493,                  0.901,              0.0010958,              0.0010958,              0.0010958
                    140,                0.76288,                0.45662,                0.96082,                0.99654,                      1,                  0.995,                0.81568,                0.68951,                0.37481,                0.89527,              0.0010892,              0.0010892,              0.0010892
                    141,                0.76827,                0.46531,                0.89748,                0.99654,                      1,                  0.995,                0.81568,                0.68951,                0.37481,                0.89527,              0.0010826,              0.0010826,              0.0010826
                    142,                0.79968,                0.44099,                 0.9513,                0.99451,                      1,                  0.995,                0.82301,                0.67674,                0.36922,                 0.8935,               0.001076,               0.001076,               0.001076
                    143,                0.88161,                0.48948,                0.92565,                0.99451,                      1,                  0.995,                0.82301,                0.67674,                0.36922,                 0.8935,              0.0010694,              0.0010694,              0.0010694
                    144,                 0.8696,                 0.4787,                0.93326,                0.99509,                      1,                  0.995,                0.81191,                0.70852,                0.37042,                0.89815,              0.0010628,              0.0010628,              0.0010628
                    145,                0.89829,                 0.4348,                0.94748,                0.99509,                      1,                  0.995,                0.81191,                0.70852,                0.37042,                0.89815,              0.0010562,              0.0010562,              0.0010562
                    146,                0.74524,                0.44382,                0.94116,                0.99625,                      1,                  0.995,                0.80218,                0.75308,                0.38384,                0.90726,              0.0010496,              0.0010496,              0.0010496
                    147,                0.87125,                0.47473,                0.93096,                0.99625,                      1,                  0.995,                0.80218,                0.75308,                0.38384,                0.90726,               0.001043,               0.001043,               0.001043
                    148,                0.87913,                0.48841,                0.95922,                0.99708,                      1,                  0.995,                0.80494,                0.76003,                0.38641,                0.91018,              0.0010364,              0.0010364,              0.0010364
                    149,                0.83381,                0.44916,                0.94396,                0.99708,                      1,                  0.995,                0.80494,                0.76003,                0.38641,                0.91018,              0.0010298,              0.0010298,              0.0010298
                    150,                0.80621,                0.43239,                0.93588,                0.99751,                      1,                  0.995,                0.82381,                0.73611,                0.37325,                0.90453,              0.0010232,              0.0010232,              0.0010232
                    151,                0.69462,                0.42824,                0.90751,                0.99751,                      1,                  0.995,                0.82381,                0.73611,                0.37325,                0.90453,              0.0010166,              0.0010166,              0.0010166
